barrio;comuna
Agronomía;15
Almagro;5
Balvanera;3
Barracas;4
Belgrano;13
Boca;4
Boedo;5
Caballito;6
Chacarita;15
Coghlan;12
Colegiales;13
Constitución;1
Flores;7
Floresta;10
Liniers;9
Mataderos;9
Monserrat;1
Monte Castro;10
Nueva Pompeya;4
Nuñez;13
Palermo;14
Parque Avellaneda;9
Parque Chacabuco;7
Parque Chas;15
Parque Patricios;4
Paternal;15
Puerto Madero;1
Recoleta;2
Retiro;1
Saavedra;12
San Cristobal;3
San Nicolás;1
San Telmo;1
Velez Sarsfield;10
Versalles;10
Villa Crespo;15
Villa del Parque;11
Villa Devoto;11
Villa General Mitre;11
Villa Lugano;8
Villa Luro;10
Villa Ortuzar;15
Villa Pueyrredón;12
Villa Real;10
Villa Riachuelo;8
Villa Santa Rita;11
Villa Soldati;8
Villa Urquiza;12
Abasto;3
Barrio Norte;2
Capital Federal;0
Catalinas;1
Centro / Microcentro;1
Congreso;3
Las Cañitas;14
Once;3
Palermo Chico;14
Palermo Hollywood;14
Palermo Soho;14
Palermo Viejo;14
Parque Centenario;6
Pompeya;4
Tribunales;1
